tx_index,buy_date,trader,stock,code,industry,amount_w,buy_price_est,shares_est,remaining,realized_shares,realized_proceeds,first_sell_date,last_sell_date,window,source_quality,return_confidence,source_image,note,realized_exit_price_est,realized_return_pct,open_shares_est,end_close,unrealized_return_pct,blended_return_pct,holding_calendar_days_to_first_sell,status
64,2026-07-22,屠文斌,德明利,001309,C39计算机、通信和其他电子设备制造业,9204.0,471.96686028678505,195013.69215642172,195013.69215642172,0.0,0.0,,,单日,verified,中,17.jpg,,,,195013.69215642172,406.19,-0.13936754001502671,-0.13936754001502671,,持有至截止日
65,2026-07-22,孙哥,托伦斯,301583,C34通用设备制造业,8465.0,156.5865319453136,540595.6626561168,0.0,540595.6626561168,88101621.19021524,2026-07-31,2026-07-31,单日,verified,中,17.jpg,,162.9713800464921,0.04077520602735074,0.0,161.85,0.03361379800227393,0.04077520602735074,9.0,已全部卖出
66,2026-07-22,炒股养家,山金国际,000975,B09有色金属矿采选业,5204.0,22.161889017005297,2348175.2823538003,2348175.2823538003,0.0,0.0,,,单日,verified,中,17.jpg,,,,2348175.2823538003,25.77,0.16280701434007372,0.16280701434007372,,持有至截止日
68,2026-07-22,独股一剑,万邦医药,301520,M73研究和试验发展,1007.0,50.02195892424653,201311.58828165947,0.0,201311.58828165947,11396933.200573917,2026-07-29,2026-08-10,单日,verified,中,17.jpg,,56.61339865158789,0.13177092359224596,0.0,85.79,0.7150467883499074,0.13177092359224596,7.0,已全部卖出
69,2026-07-22,宁波桑田路,立新能源,001258,D44电力、热力生产和供应业,4808.0,9.84490239516807,4883745.726478498,4883745.726478498,0.0,0.0,,,3日,verified,低,17.jpg,3日榜单无法定位逐笔成交日，收益为区间VWAP估算,,,4883745.726478498,13.75,0.3966618914118003,0.3966618914118005,,持有至截止日
60,2026-07-22,温州帮,星辉环材,300834,C26化学原料和化学制品制造业,1554.0,35.75770622732017,434591.634631387,434591.634631387,0.0,0.0,,,单日,verified,中,17.jpg,,,,434591.634631387,39.24,0.09738582644373417,0.09738582644373417,,持有至截止日
59,2026-07-22,温州帮,美利云,000815,C22造纸和纸制品业,1997.0,16.053369503188552,1243975.6025072194,1243975.6025072194,0.0,0.0,,,单日,verified,中,17.jpg,,,,1243975.6025072194,18.97,0.18168338405417872,0.18168338405417872,,持有至截止日
57,2026-07-22,呼家楼,托伦斯,301583,C34通用设备制造业,5080.0,156.5865319453136,324421.2600464351,324421.2600464351,0.0,0.0,,,单日,verified,中,17.jpg,,,,324421.2600464351,161.85,0.03361379800227393,0.03361379800227415,,持有至截止日
58,2026-07-22,温州帮,华通线缆,605196,C38电气机械和器材制造业,5588.0,28.62560264505605,1952098.6402587085,1952098.6402587085,0.0,0.0,,,单日,verified,中,17.jpg,,,,1952098.6402587085,35.07,0.22512704570280784,0.22512704570280784,,持有至截止日
45,2026-07-22,作手新一,证通电子,002197,I65软件和信息技术服务业,3419.0,6.939310345887322,4927002.5832269015,4927002.5832269015,0.0,0.0,,,单日,verified,中,17.jpg,,,,4927002.5832269015,7.19,0.03612601852592645,0.03612601852592623,,持有至截止日
46,2026-07-22,作手新一,紫光股份,000938,C39计算机、通信和其他电子设备制造业,92100.0,40.593415083184276,22688408.898652185,147807.22409545258,22540601.674556732,915000000.0,2026-07-22,2026-07-22,3日,verified,低,17.jpg,3日榜单无法定位逐笔成交日，收益为区间VWAP估算,40.593415083184276,0.0,147807.22409545258,39.95,-0.01585023289776888,-0.00010325884623951787,0.0,部分卖出
49,2026-07-22,紫阳东路,金牛化工,600722,C26化学原料和化学制品制造业,5711.0,9.602738228537913,5947261.983074532,307843.5219600564,5639418.4611144755,58320000.0,2026-07-23,2026-07-23,单日,verified,中,17.jpg,,10.341491840361615,0.07693155787879702,307843.5219600564,11.28,0.17466494780389974,0.08199045574696973,1.0,部分卖出
44,2026-07-22,作手新一,创业黑马,300688,L72商务服务业,4650.0,24.14878762493271,1925562.5053404549,95837.00206089835,1829725.5032795565,47000000.0,2026-07-23,2026-07-23,单日,verified,中,17.jpg,,25.686913100220945,0.06369369341341913,95837.00206089835,31.86,0.31932089075584713,0.0764164921647359,1.0,部分卖出
52,2026-07-22,江苏路,招金黄金,000506,B09有色金属矿采选业,1871.0,12.632739704588374,1481072.2327480782,1481072.2327480782,0.0,0.0,,,单日,verified,中,17.jpg,,,,1481072.2327480782,17.64,0.3963716828260875,0.3963716828260877,,持有至截止日
53,2026-07-22,江苏路,瑞斯康达,603803,C39计算机、通信和其他电子设备制造业,1666.0,9.691850592820193,1718969.9573311491,1718969.9573311491,0.0,0.0,,,单日,verified,中,17.jpg,,,,1718969.9573311491,11.14,0.14941928719501818,0.14941928719501818,,持有至截止日
56,2026-07-22,学院南路,托伦斯,301583,C34通用设备制造业,6875.0,156.5865319453136,439054.3627596932,0.0,439054.3627596932,67601041.71512188,2026-07-23,2026-07-23,单日,verified,中,17.jpg,,153.9696389536205,-0.016712120507318073,0.0,161.85,0.03361379800227393,-0.016712120507318073,1.0,已全部卖出
50,2026-07-22,紫阳东路,贤丰控股,002141,C38电气机械和器材制造业,5979.0,4.998124606413489,11962486.874232532,0.0,11962486.874232532,65855343.0342382,2026-07-23,2026-07-30,单日,verified,中,17.jpg,,5.505154883479295,0.10144410493791911,0.0,6.48,0.29648628441255753,0.10144410493791911,1.0,已全部卖出
91,2026-07-23,中山东路,湖南天雁,600698,C36汽车制造业,474.0,6.030608403027228,785990.3484399067,785990.3484399067,0.0,0.0,,,单日,verified,中,16.jpg,,,,785990.3484399067,7.08,0.17401090020137966,0.17401090020137966,,持有至截止日
92,2026-07-23,章盟主,宏桥控股,002379,C32有色金属冶炼和压延加工业,3007.0,19.805067824485203,1518298.2591366922,1518298.2591366922,0.0,0.0,,,单日,verified,中,16.jpg,,,,1518298.2591366922,19.29,-0.026006870011746175,-0.026006870011746175,,持有至截止日
93,2026-07-23,章盟主,晶华新材,603683,C26化学原料和化学制品制造业,1826.0,15.471568106800692,1180229.4294896729,1180229.4294896729,0.0,0.0,,,单日,verified,中,16.jpg,,,,1180229.4294896729,15.62,0.009593849322491188,0.009593849322491188,,持有至截止日
94,2026-07-23,孙哥,扬电科技,301012,C38电气机械和器材制造业,3629.0,27.402791340063093,1324317.6415733874,1324317.6415733874,0.0,0.0,,,单日,verified,中,16.jpg,,,,1324317.6415733874,26.1,-0.04754228588962761,-0.0475422858896275,,持有至截止日
