stock,code,canonical_name,industry,updateDate
均瑶健康,605388,均瑶健康,C15酒、饮料和精制茶制造业,2026-08-10
坤泰股份,001260,坤泰股份,C36汽车制造业,2026-08-10
城地香江,603887,城地香江,I65软件和信息技术服务业,2026-08-10
塞力医疗,603716,塞力医疗,F51批发业,2026-08-10
多氟多,002407,多氟多,C26化学原料和化学制品制造业,2026-08-10
大东方,600327,大东方,Q84卫生,2026-08-10
大众交通,600611,大众交通,G54道路运输业,2026-08-10
大晟文化,600892,大晟文化,I64互联网和相关服务,2026-08-10
天娱数科,002354,天娱数科,I64互联网和相关服务,2026-08-10
天普股份,605255,天普股份,C29橡胶和塑料制品业,2026-08-10
天洋新材,603330,天洋新材,C29橡胶和塑料制品业,2026-08-10
天通股份,600330,天通股份,C39计算机、通信和其他电子设备制造业,2026-08-10
太极实业,600667,太极实业,E48土木工程建筑业,2026-08-10
威士顿,301315,威士顿,I65软件和信息技术服务业,2026-08-10
威派格,603956,威派格,C35专用设备制造业,2026-08-10
安记食品,603696,安记食品,C14食品制造业,2026-08-10
宏和科技,603256,宏和科技,C30非金属矿物制品业,2026-08-10
宏桥控股,002379,宏桥控股,C32有色金属冶炼和压延加工业,2026-08-10
宝光股份,600379,宝光股份,C38电气机械和器材制造业,2026-08-10
宝鹰股份,002047,宝鹰股份,E50建筑装饰、装修和其他建筑业,2026-08-10
宝鼎科技,002552,宝鼎科技,C39计算机、通信和其他电子设备制造业,2026-08-10
宿迁联盛,603065,宿迁联盛,C26化学原料和化学制品制造业,2026-08-10
富瀚微,300613,富瀚微,I65软件和信息技术服务业,2026-08-10
山金国际,000975,山金国际,B09有色金属矿采选业,2026-08-10
岩山科技,002195,岩山科技,I64互联网和相关服务,2026-08-10
巨轮智能,002031,巨轮智能,C35专用设备制造业,2026-08-10
市北高新,600604,市北高新,K70房地产业,2026-08-10
广西能源,600310,广西能源,D44电力、热力生产和供应业,2026-08-10
引力传媒,603598,引力传媒,L72商务服务业,2026-08-10
微导纳米,688147,微导纳米,C35专用设备制造业,2026-08-10
德明利,001309,德明利,C39计算机、通信和其他电子设备制造业,2026-08-10
德龙汇能,000593,德龙汇能,D45燃气生产和供应业,2026-08-10
必贝特,688759,必贝特,C27医药制造业,2026-08-10
志特新材,300986,志特新材,C33金属制品业,2026-08-10
恒尚节能,603137,恒尚节能,E50建筑装饰、装修和其他建筑业,2026-08-10
恒银科技,603106,恒银科技,C39计算机、通信和其他电子设备制造业,2026-08-10
恒锋信息,300605,恒锋信息,I65软件和信息技术服务业,2026-08-10
惠天热电,000692,惠天热电,D44电力、热力生产和供应业,2026-08-10
慧辰股份,688500,慧辰股份,I65软件和信息技术服务业,2026-08-10
托伦斯,301583,托伦斯,C34通用设备制造业,2026-08-10
扬电科技,301012,扬电科技,C38电气机械和器材制造业,2026-08-10
招商轮船,601872,招商轮船,G55水上运输业,2026-08-10
招金黄金,000506,招金黄金,B09有色金属矿采选业,2026-08-10
敏芯股份,688286,敏芯股份,C39计算机、通信和其他电子设备制造业,2026-08-10
新中港,605162,新中港,D44电力、热力生产和供应业,2026-08-10
新亚制程,002388,新亚制程,C39计算机、通信和其他电子设备制造业,2026-08-10
新开普,300248,新开普,I65软件和信息技术服务业,2026-08-10
新能股份,000595,新能股份,C34通用设备制造业,2026-08-10
新芝生物,920685,新芝生物,未分类,
新赣江,920367,新赣江,未分类,
新风光,688663,新风光,C38电气机械和器材制造业,2026-08-10
方邦股份,688020,方邦股份,C39计算机、通信和其他电子设备制造业,2026-08-10
昀冢科技,688260,昀冢科技,C39计算机、通信和其他电子设备制造业,2026-08-10
昊创瑞通,301668,昊创瑞通,C38电气机械和器材制造业,2026-08-10
星网锐捷,002396,星网锐捷,C39计算机、通信和其他电子设备制造业,2026-08-10
星辉环材,300834,星辉环材,C26化学原料和化学制品制造业,2026-08-10
晋拓股份,603211,晋拓股份,C36汽车制造业,2026-08-10
晋控电力,000767,晋控电力,D44电力、热力生产和供应业,2026-08-10
普联软件,300996,普联软件,I65软件和信息技术服务业,2026-08-10
景旺电子,603228,景旺电子,C39计算机、通信和其他电子设备制造业,2026-08-10
晶华新材,603683,晶华新材,C26化学原料和化学制品制造业,2026-08-10
智动力,300686,智动力,C39计算机、通信和其他电子设备制造业,2026-08-10
有研新材,600206,有研新材,C32有色金属冶炼和压延加工业,2026-08-10
朗博科技,603655,朗博科技,C29橡胶和塑料制品业,2026-08-10
朗姿股份,002612,朗姿股份,C18纺织服装、服饰业,2026-08-10
望变电气,603191,望变电气,C38电气机械和器材制造业,2026-08-10
杭电股份,603618,杭电股份,C38电气机械和器材制造业,2026-08-10
杰理科技,920138,杰理科技,未分类,
林平发展,603284,林平发展,C22造纸和纸制品业,2026-08-10
格尔软件,603232,格尔软件,I65软件和信息技术服务业,2026-08-10
森合高科,920038,森合高科,未分类,
欣兴工具,301677,欣兴工具,C33金属制品业,2026-08-10
欣天科技,300615,欣天科技,C39计算机、通信和其他电子设备制造业,2026-08-10
正裕工业,603089,正裕工业,C36汽车制造业,2026-08-10
武汉凡谷,002194,武汉凡谷,C39计算机、通信和其他电子设备制造业,2026-08-10
毕得医药,688073,毕得医药,M73研究和试验发展,2026-08-10
汇绿生态,001267,汇绿生态,C39计算机、通信和其他电子设备制造业,2026-08-10
汇金股份,300368,汇金股份,I65软件和信息技术服务业,2026-08-10
汉缆股份,002498,汉缆股份,C38电气机械和器材制造业,2026-08-10
汉鑫科技,920092,汉鑫科技,未分类,
江化微,603078,江化微,C26化学原料和化学制品制造业,2026-08-10
江海股份,002484,江海股份,C39计算机、通信和其他电子设备制造业,2026-08-10
江钨装备,600397,江钨装备,C35专用设备制造业,2026-08-10
泛微网络,603039,泛微网络,I65软件和信息技术服务业,2026-08-10
波长光电,301421,波长光电,C40仪器仪表制造业,2026-08-10
泰坦股份,003036,泰坦股份,C35专用设备制造业,2026-08-10
泰晶科技,603738,泰晶科技,C39计算机、通信和其他电子设备制造业,2026-08-10
泰金新能,688813,泰金新能,C35专用设备制造业,2026-08-10
洁美科技,002859,洁美科技,C39计算机、通信和其他电子设备制造业,2026-08-10
浙江世宝,002703,浙江世宝,C36汽车制造业,2026-08-10
浩通科技,301026,浩通科技,C42废弃资源综合利用业,2026-08-10
海南海药,000566,海南海药,C27医药制造业,2026-08-10
深南电A,000037,深南电A,D44电力、热力生产和供应业,2026-08-10
渤海化学,600800,渤海化学,C26化学原料和化学制品制造业,2026-08-10
湖南天雁,600698,湖南天雁,C36汽车制造业,2026-08-10
湘财股份,600095,湘财股份,J67资本市场服务,2026-08-10
澳洋健康,002172,澳洋健康,Q84卫生,2026-08-10
灵康药业,603669,灵康药业,C27医药制造业,2026-08-10
炬光科技,688167,炬光科技,C39计算机、通信和其他电子设备制造业,2026-08-10
爱丽家居,603221,爱丽家居,C29橡胶和塑料制品业,2026-08-10
爱朋医疗,300753,爱朋医疗,C35专用设备制造业,2026-08-10
狮头股份,600539,狮头股份,F52零售业,2026-08-10
珍宝岛,603567,珍宝岛,C27医药制造业,2026-08-10
瑞康医药,002589,瑞康医药,F51批发业,2026-08-10
瑞斯康达,603803,瑞斯康达,C39计算机、通信和其他电子设备制造业,2026-08-10
瑞纳智能,301129,瑞纳智能,C40仪器仪表制造业,2026-08-10
瑞迪智驱,301596,瑞迪智驱,C34通用设备制造业,2026-08-10
甘咨询,000779,甘咨询,M74专业技术服务业,2026-08-10
百合股份,603102,百合股份,C14食品制造业,2026-08-10
百合花,603823,百合花,C26化学原料和化学制品制造业,2026-08-10
百奥赛图,688796,百奥赛图,M73研究和试验发展,2026-08-10
百花医药,600721,百花医药,M73研究和试验发展,2026-08-10
皇氏集团,002329,皇氏集团,C14食品制造业,2026-08-10
皖仪科技,688600,皖仪科技,C40仪器仪表制造业,2026-08-10
盈峰环境,000967,盈峰环境,C35专用设备制造业,2026-08-10
